state_sigla,city,localizador,latitud,longitud
SP,rafard,"rafard SP, Brazil",-23.0143559,-47.5306721
SP,mombuca,"mombuca SP, Brazil",-22.9293093,-47.5650724
SP,nova odessa,"nova odessa SP, Brazil",-22.7805746,-47.2993805
SP,rio das pedras,"rio das pedras SP, Brazil",-22.8441256,-47.6065667
SP,piracicaba,"piracicaba SP, Brazil",-22.725165,-47.6493269
SP,saltinho,"saltinho SP, Brazil",-22.8446614,-47.675489
SP,santa barbara d oeste,"santa barbara d oeste SP, Brazil",-22.7542539,-47.4137884
SP,santa barbara d'oeste,"santa barbara d'oeste SP, Brazil",-22.7542539,-47.4137884
SP,americana,"americana SP, Brazil",-22.7392463,-47.3306032
SP,limeira,"limeira SP, Brazil",-22.5615068,-47.401766
SP,cordeiropolis,"cordeiropolis SP, Brazil",-22.4768324,-47.4550551
SP,iracemapolis,"iracemapolis SP, Brazil",-22.5869091,-47.5160966
SP,rio claro,"rio claro SP, Brazil",-22.4100108,-47.5603933
SP,ajapi,"ajapi SP, Brazil",-22.26941785,-47.530489968413725
SP,santa gertrudes,"santa gertrudes SP, Brazil",-22.4590897,-47.532034
SP,charqueada,"charqueada SP, Brazil",-22.50958,-47.775468
SP,sao pedro,"sao pedro SP, Brazil",-22.5512765,-47.9072359
SP,aguas de sao pedro,"aguas de sao pedro SP, Brazil",-22.6000681,-47.8750887
SP,itirapina,"itirapina SP, Brazil",-22.2536514,-47.8212546
SP,ipeuna,"ipeuna SP, Brazil",-22.4356582,-47.7146714
SP,corumbatai,"corumbatai SP, Brazil",-22.2210521,-47.6249638
SP,analandia,"analandia SP, Brazil",-22.128917,-47.661939
SP,sao carlos,"sao carlos SP, Brazil",-22.0180395,-47.891154
SP,agua vermelha,"agua vermelha SP, Brazil",-21.89851185,-47.85035719090676
SP,santa eudóxia,"santa eudóxia SP, Brazil",-21.73366905,-47.8515182775
SP,ribeirao bonito,"ribeirao bonito SP, Brazil",-22.0692867,-48.1781765
SP,dourado,"dourado SP, Brazil",-22.1124638,-48.3151079
SP,araras,"araras SP, Brazil",-22.3569477,-47.3838889
SP,leme,"leme SP, Brazil",-22.1859721,-47.389764
SP,santa cruz da conceicao,"santa cruz da conceicao SP, Brazil",-22.1378975,-47.4555647
SP,pirassununga,"pirassununga SP, Brazil",-21.9980468,-47.4280861
SP,santa cruz das palmeiras,"santa cruz das palmeiras SP, Brazil",-21.823475,-47.248023
SP,porto ferreira,"porto ferreira SP, Brazil",-21.8529134,-47.4794943
SP,santa rita do passa quatro,"santa rita do passa quatro SP, Brazil",-21.7103738,-47.4777943
SP,descalvado,"descalvado SP, Brazil",-21.9090404,-47.6203241
SP,casa branca,"casa branca SP, Brazil",-21.7743137,-47.0852175
SP,lagoa branca,"lagoa branca SP, Brazil",-21.92722645,-47.047453507499995
SP,venda branca,"venda branca SP, Brazil",-21.936848750000003,-47.13194621359218
SP,tambau,"tambau SP, Brazil",-21.70292,-47.270344
SP,itobi,"itobi SP, Brazil",-21.730853,-46.9743
