localizador,longitud
"coroados SP, Brazil",-50.2853589
"brejo alegre SP, Brazil",-50.1850393
"glicerio SP, Brazil",-50.2100452
"juritis SP, Brazil",-50.16000483870968
"brauna SP, Brazil",-50.3175246
"penapolis SP, Brazil",-50.0765588
"alto alegre SP, Brazil",-50.1661976
"luiziania SP, Brazil",-50.3269863
"barbosa SP, Brazil",-49.951816
"avanhandava SP, Brazil",-49.9465156
"promissao SP, Brazil",-49.8574709
"lins SP, Brazil",-49.7518932
"guaicara SP, Brazil",-49.7962941
"sabino SP, Brazil",-49.5776811
"getulina SP, Brazil",-49.9288096
"guaimbe SP, Brazil",-49.89861
"cafelandia SP, Brazil",-49.6030627
"simoes SP, Brazil",-49.405346782692305
"guaranta SP, Brazil",-49.590107
"pirajui SP, Brazil",-49.4549675
"balbinos SP, Brazil",-49.3583966
"uru SP, Brazil",-49.2819702
"pongai SP, Brazil",-49.3584449
"presidente alves SP, Brazil",-49.438133
"avai SP, Brazil",-49.3316395
"guararapes SP, Brazil",-50.6440083
"rubiacea SP, Brazil",-50.7298698
"bento de abreu SP, Brazil",-50.8117225
"mirandopolis SP, Brazil",-51.1029422
"tres aliancas SP, Brazil",-51.02558279220779
"lavinia SP, Brazil",-51.0410539
"valparaiso SP, Brazil",-50.8666375
"andradina SP, Brazil",-51.3742765
"castilho SP, Brazil",-51.4877792
"nova independencia SP, Brazil",-51.4910804
"murutinga do sul SP, Brazil",-51.2782237
"guaracai SP, Brazil",-51.2100464
"bauru SP, Brazil",-49.0705863
"agudos SP, Brazil",-48.9884476
"paulistania SP, Brazil",-49.3985251
"arealva SP, Brazil",-48.9111936
"jacuba SP, Brazil",-49.06078141666667
"iacanga SP, Brazil",-49.0226082
"reginopolis SP, Brazil",-49.22273
"jau SP, Brazil",-48.559193
"itapui SP, Brazil",-48.7189744
"bocaina SP, Brazil",-48.522276
"bariri SP, Brazil",-48.7394852
"itaju SP, Brazil",-48.8046536
"boraceia SP, Brazil",-48.7801925
"pederneiras SP, Brazil",-48.778113
"guaianas SP, Brazil",-48.89915191753883
"santelmo SP, Brazil",-48.89583514492753
"macatuba SP, Brazil",-48.710229
"dois corregos SP, Brazil",-48.3845315
"guarapua SP, Brazil",-48.37067608695652
"mineiros do tiete SP, Brazil",-48.450554
"barra bonita SP, Brazil",-48.558349
"igaracu do tiete SP, Brazil",-48.5582558
"torrinha SP, Brazil",-48.1690653
"santa maria da serra SP, Brazil",-48.157095
"brotas SP, Brazil",-48.1267265
"sao sebastiao da serra SP, Brazil",-48.0107866
"garca SP, Brazil",-49.6547994
"alvaro de carvalho SP, Brazil",-49.7194861
"lupercio SP, Brazil",-49.8183516
"alvinlandia SP, Brazil",-49.7643596
"ubirajara SP, Brazil",-49.6635412
"galia SP, Brazil",-49.5516228
"fernao SP, Brazil",-49.5209504
"duartina SP, Brazil",-49.408355
"lucianopolis SP, Brazil",-49.5219241
"cabralia paulista SP, Brazil",-49.3385645
"piratininga SP, Brazil",-49.1351479
"marilia SP, Brazil",-49.95006
"marília SP, Brazil",-49.95006
"ocaucu SP, Brazil",-49.9226712
"julio mesquita SP, Brazil",-49.7889446
"vera cruz SP, Brazil",-49.8243021
"oriente SP, Brazil",-50.0935645
"pompeia SP, Brazil",-50.1720753
"queiroz SP, Brazil",-50.2392786
"tupa SP, Brazil",-50.5141255
"arco-iris SP, Brazil",-50.4668814
"herculandia SP, Brazil",-50.3862746
"quintana SP, Brazil",-50.308652
"iacri SP, Brazil",-50.6892931
"bastos SP, Brazil",-50.7317727
"osvaldo cruz SP, Brazil",-50.879119
"sagres SP, Brazil",-50.9574608
"salmourao SP, Brazil",-50.8605656
"parapua SP, Brazil",-50.7922396
"rinopolis SP, Brazil",-50.7226134
"inubia paulista SP, Brazil",-50.9616718
