state_sigla,city,localizador,latitud
SP,hortolandia,"hortolandia SP, Brazil",-22.85833
SP,monte mor,"monte mor SP, Brazil",-22.945043
SP,jundiai,"jundiai SP, Brazil",-23.1887668
SP,varzea paulista,"varzea paulista SP, Brazil",-23.2113889
SP,campo limpo paulista,"campo limpo paulista SP, Brazil",-23.207791
SP,jarinu,"jarinu SP, Brazil",-23.0949649
SP,itatiba,"itatiba SP, Brazil",-22.9965861
SP,morungaba,"morungaba SP, Brazil",-22.88
SP,valinhos,"valinhos SP, Brazil",-22.97056
SP,vinhedo,"vinhedo SP, Brazil",-23.0298535
SP,louveira,"louveira SP, Brazil",-23.08639
SP,itupeva,"itupeva SP, Brazil",-23.1531055
SP,itu,"itu SP, Brazil",-23.2638828
SP,cabreuva,"cabreuva SP, Brazil",-23.3076663
SP,bom fim do bom jesus,"bom fim do bom jesus SP, Brazil",-23.30831575
SP,salto,"salto SP, Brazil",-23.1989983
SP,indaiatuba,"indaiatuba SP, Brazil",-23.09028
SP,elias fausto,"elias fausto SP, Brazil",-23.0416538
SP,cardeal,"cardeal SP, Brazil",-23.07274425
SP,capivari,"capivari SP, Brazil",-22.9999295
SP,rafard,"rafard SP, Brazil",-23.0143559
SP,mombuca,"mombuca SP, Brazil",-22.9293093
SP,nova odessa,"nova odessa SP, Brazil",-22.7805746
SP,rio das pedras,"rio das pedras SP, Brazil",-22.8441256
SP,piracicaba,"piracicaba SP, Brazil",-22.725165
SP,saltinho,"saltinho SP, Brazil",-22.8446614
SP,santa barbara d oeste,"santa barbara d oeste SP, Brazil",-22.7542539
SP,santa barbara d'oeste,"santa barbara d'oeste SP, Brazil",-22.7542539
SP,americana,"americana SP, Brazil",-22.7392463
SP,limeira,"limeira SP, Brazil",-22.5615068
SP,cordeiropolis,"cordeiropolis SP, Brazil",-22.4768324
SP,iracemapolis,"iracemapolis SP, Brazil",-22.5869091
SP,rio claro,"rio claro SP, Brazil",-22.4100108
SP,ajapi,"ajapi SP, Brazil",-22.26941785
SP,santa gertrudes,"santa gertrudes SP, Brazil",-22.4590897
SP,charqueada,"charqueada SP, Brazil",-22.50958
SP,sao pedro,"sao pedro SP, Brazil",-22.5512765
SP,aguas de sao pedro,"aguas de sao pedro SP, Brazil",-22.6000681
SP,itirapina,"itirapina SP, Brazil",-22.2536514
SP,ipeuna,"ipeuna SP, Brazil",-22.4356582
SP,corumbatai,"corumbatai SP, Brazil",-22.2210521
SP,analandia,"analandia SP, Brazil",-22.128917
SP,sao carlos,"sao carlos SP, Brazil",-22.0180395
SP,agua vermelha,"agua vermelha SP, Brazil",-21.89851185
SP,santa eudóxia,"santa eudóxia SP, Brazil",-21.73366905
SP,ribeirao bonito,"ribeirao bonito SP, Brazil",-22.0692867
SP,dourado,"dourado SP, Brazil",-22.1124638
SP,araras,"araras SP, Brazil",-22.3569477
SP,leme,"leme SP, Brazil",-22.1859721
SP,santa cruz da conceicao,"santa cruz da conceicao SP, Brazil",-22.1378975
SP,pirassununga,"pirassununga SP, Brazil",-21.9980468
SP,santa cruz das palmeiras,"santa cruz das palmeiras SP, Brazil",-21.823475
SP,porto ferreira,"porto ferreira SP, Brazil",-21.8529134
SP,santa rita do passa quatro,"santa rita do passa quatro SP, Brazil",-21.7103738
SP,descalvado,"descalvado SP, Brazil",-21.9090404
SP,casa branca,"casa branca SP, Brazil",-21.7743137
SP,lagoa branca,"lagoa branca SP, Brazil",-21.92722645
SP,venda branca,"venda branca SP, Brazil",-21.936848750000003
SP,tambau,"tambau SP, Brazil",-21.70292
SP,itobi,"itobi SP, Brazil",-21.730853
SP,sao jose do rio pardo,"sao jose do rio pardo SP, Brazil",-21.595288
SP,mococa,"mococa SP, Brazil",-21.464731
SP,igarai,"igarai SP, Brazil",-21.41411065
SP,sao benedito das areias,"sao benedito das areias SP, Brazil",-21.33067455
SP,tapiratiba,"tapiratiba SP, Brazil",-21.46824
SP,caconde,"caconde SP, Brazil",-21.5281123
SP,divinolandia,"divinolandia SP, Brazil",-21.6604584
SP,sao sebastiao da grama,"sao sebastiao da grama SP, Brazil",-21.7118854
SP,mogi mirim,"mogi mirim SP, Brazil",-22.433123
SP,jaguariuna,"jaguariuna SP, Brazil",-22.70374
SP,holambra,"holambra SP, Brazil",-22.6332028
SP,santo antonio de posse,"santo antonio de posse SP, Brazil",-22.6054087
SP,conchal,"conchal SP, Brazil",-22.337512
SP,mogi guacu,"mogi guacu SP, Brazil",-22.372222
SP,mogi guaçu,"mogi guaçu SP, Brazil",-22.372222
SP,martinho prado junior,"martinho prado junior SP, Brazil",-22.234979600000003
