zip_code_prefix,region_name,id_state,state_sigla,state_name,city,localizador,latitud,longitud
12301,Sudeste,35,SP,São Paulo,jacarei,"jacarei SP, Brazil",-23.30528,-45.96583
12350,Sudeste,35,SP,São Paulo,igarata,"igarata SP, Brazil",-23.2063475,-46.156934
12380,Sudeste,35,SP,São Paulo,santa branca,"santa branca SP, Brazil",-23.3974353,-45.8842294
12400,Sudeste,35,SP,São Paulo,pindamonhangaba,"pindamonhangaba SP, Brazil",-22.9364,-45.4622602
12450,Sudeste,35,SP,São Paulo,santo antonio do pinhal,"santo antonio do pinhal SP, Brazil",-22.8250504,-45.6674063
12460,Sudeste,35,SP,São Paulo,campos do jordao,"campos do jordao SP, Brazil",-22.7395263,-45.5903769
12490,Sudeste,35,SP,São Paulo,sao bento do sapucai,"sao bento do sapucai SP, Brazil",-22.6884605,-45.7329767
12500,Sudeste,35,SP,São Paulo,guaratingueta,"guaratingueta SP, Brazil",-22.8057839,-45.1908926
12525,Sudeste,35,SP,São Paulo,potim,"potim SP, Brazil",-22.8377227,-45.2565239
12530,Sudeste,35,SP,São Paulo,cunha,"cunha SP, Brazil",-23.07753,-44.9567436
12540,Sudeste,35,SP,São Paulo,campos de cunha,"campos de cunha SP, Brazil",-22.8925,-44.7945625
12570,Sudeste,35,SP,São Paulo,aparecida,"aparecida SP, Brazil",-22.851552,-45.2340924
12580,Sudeste,35,SP,São Paulo,roseira,"roseira SP, Brazil",-22.8980898,-45.3093218
12600,Sudeste,35,SP,São Paulo,lorena,"lorena SP, Brazil",-22.7367652,-45.1070876
12615,Sudeste,35,SP,São Paulo,canas,"canas SP, Brazil",-22.7029347,-45.0526508
12620,Sudeste,35,SP,São Paulo,piquete,"piquete SP, Brazil",-22.6138451,-45.1777096
12630,Sudeste,35,SP,São Paulo,cachoeira paulista,"cachoeira paulista SP, Brazil",-22.666498,-45.015384
12690,Sudeste,35,SP,São Paulo,silveiras,"silveiras SP, Brazil",-22.66384,-44.852157
12701,Sudeste,35,SP,São Paulo,cruzeiro,"cruzeiro SP, Brazil",-22.5783685,-44.9642044
12760,Sudeste,35,SP,São Paulo,lavrinhas,"lavrinhas SP, Brazil",-22.570047,-44.902359
12770,Sudeste,35,SP,São Paulo,pinheiros,"pinheiros SP, Brazil",-23.567249,-46.7019515
12800,Sudeste,35,SP,São Paulo,queluz,"queluz SP, Brazil",-22.5371881,-44.7752585
12820,Sudeste,35,SP,São Paulo,areias,"areias SP, Brazil",-22.5800929,-44.6975127
12830,Sudeste,35,SP,São Paulo,sao jose do barreiro,"sao jose do barreiro SP, Brazil",-22.6452376,-44.5805246
12850,Sudeste,35,SP,São Paulo,bananal,"bananal SP, Brazil",-22.6828195,-44.3221095
12870,Sudeste,35,SP,São Paulo,arapei,"arapei SP, Brazil",-22.6738889,-44.4477778
12900,Sudeste,35,SP,São Paulo,braganca paulista,"braganca paulista SP, Brazil",-22.9520235,-46.5418586
12930,Sudeste,35,SP,São Paulo,tuiuti,"tuiuti SP, Brazil",-22.819324,-46.6937627
12935,Sudeste,35,SP,São Paulo,vargem,"vargem SP, Brazil",-22.8902379,-46.4145366
12940,Sudeste,35,SP,São Paulo,atibaia,"atibaia SP, Brazil",-23.1177393,-46.5547861
12955,Sudeste,35,SP,São Paulo,bom jesus dos perdoes,"bom jesus dos perdoes SP, Brazil",-23.1353864,-46.4648052
12960,Sudeste,35,SP,São Paulo,nazare paulista,"nazare paulista SP, Brazil",-23.1819309,-46.3992986
12970,Sudeste,35,SP,São Paulo,piracaia,"piracaia SP, Brazil",-23.052545,-46.359374
12980,Sudeste,35,SP,São Paulo,joanopolis,"joanopolis SP, Brazil",-22.930004,-46.275208
12990,Sudeste,35,SP,São Paulo,pedra bela,"pedra bela SP, Brazil",-22.7950193,-46.4431811
12995,Sudeste,35,SP,São Paulo,pinhalzinho,"pinhalzinho SP, Brazil",-22.7824349,-46.5901718
13010,Sudeste,35,SP,São Paulo,campinas,"campinas SP, Brazil",-22.90556,-47.06083
13140,Sudeste,35,SP,São Paulo,paulinia,"paulinia SP, Brazil",-22.7630391,-47.1532213
13150,Sudeste,35,SP,São Paulo,cosmopolis,"cosmopolis SP, Brazil",-22.6437398,-47.1972086
13160,Sudeste,35,SP,São Paulo,artur nogueira,"artur nogueira SP, Brazil",-22.572737,-47.172679
13165,Sudeste,35,SP,São Paulo,engenheiro coelho,"engenheiro coelho SP, Brazil",-22.4896659,-47.2119005
